                  objname |  al2000*15. |     de2000 |     vvir |     6.*10^logd25 |   incl |  type |
  PGC002496               |   10.530849 |  -14.12273 |    10727 |  65.788685989933 |   50.4 | Sbc   |
  NGC0223                 |  10.5661515 |    0.84547 |     5328 | 70.9824858616729 |   55.7 | S0-a  |
  IC0043                  |  10.5919995 |   29.64150 |     4968 | 75.7096435965858 |   24.3 | SABc  |
  PGC002544               |   10.625415 |   40.57583 |      400 | 78.0101680011491 |   44.6 | I     |
  UGC00455                |  10.6509285 |   -1.99532 |     5668 | 76.4101882168071 |   39.2 | E     |
  NGC0227                 |  10.6534395 |   -1.52883 |     5386 | 114.591200294995 |   55.6 | E     |
  ESO474-017              |  10.7232645 |  -23.54468 |     6643 |   76.58631911076 |    0.0 | S0    |
  ESO411-008              |   10.809972 |  -27.49345 |    10413 |   60.41590304981 |   57.4 | Sab   |
  NGC0236                 |  10.8647505 |    2.95819 |     5623 | 68.8892082133164 |   26.9 | SABc  |
  NGC0237                 |    10.86591 |   -0.12501 |     4135 | 78.1900084241251 |   53.8 | SABc  |
  NGC0234                 |   10.884909 |   14.34255 |     4485 | 94.4389776746154 |   40.0 | SABc  |
  IC0048                  |   10.893666 |   -8.18650 |     5883 | 67.4762982898433 |   40.7 | S0    |
  NGC0233                 |  10.9021995 |   30.58695 |     5547 | 75.1884790820799 |   39.2 | E     |
  IC0049                  |  10.9839105 |    1.85021 |     4536 | 76.9398420554059 |   36.7 | SABc  |
  ESO029-007              |  10.9987965 |  -76.59089 |    10214 | 62.3952041951282 |   38.2 | SBb   |
  UGC00471                |  11.1740835 |   45.42133 |    14977 | 95.5325284480431 |   41.1 | Sbc   |
  ESO150-021              |   11.246391 |  -56.37999 |     8122 | 92.7152686118494 |   35.0 | S0-a  |
  NGC0240                 |  11.2579995 |    6.11339 |    12228 | 80.9377720668364 |   19.7 | S0-a  |
  NGC0244                 |   11.443482 |  -15.59700 |      831 |  62.251709596865 |    0.0 | S0    |
  ESO411-010              |   11.464974 |  -31.19981 |     5662 |  66.092366990216 |   38.4 | SBbc  |
  ESO540-019              |   11.490261 |  -20.60884 |     3906 |  64.886042919733 |   57.6 | I     |
  PGC002689               |   11.514075 |  -11.50545 |     1528 |  111.98278858132 |   33.8 | Sm    |
  NGC0245                 |   11.522637 |   -1.72335 |     4037 | 72.1358732052396 |   21.4 | Sb    |
  IC0050                  |  11.5237365 |   -9.50303 |     6040 | 61.3975781886058 |   46.6 | E     |
  IC0051                  |  11.6007375 |  -13.44241 |     1616 | 102.129497944698 |   59.2 | S0    |
  UGC00480                |   11.633496 |   36.32541 |    11376 | 79.2777474519079 |   59.3 | Sc    |
  ESO351-005              |   11.679372 |  -35.79780 |     6830 | 60.6947665891908 |   49.5 | Sc    |
  PGC002750               |   11.756589 |  -52.05112 |     7981 | 89.3616601493482 |   33.6 | S?    |
  ESO194-038              |  11.7666855 |  -48.71853 |     8074 | 63.8485738027402 |   52.0 | Sc    |
  ESO474-025              |   11.779923 |  -22.59378 |     2710 | 79.2777474519079 |   21.7 | SABm  |
  ESO474-027              |   11.796333 |  -26.38231 |     5166 | 65.6373871651568 |   52.6 | SABb  |
  IC1584                  |    11.82741 |   27.82733 |     4849 | 82.6325792023437 |   30.2 | SABb  |
  ESO540-025              |   11.907939 |  -20.51952 |     6111 |  62.251709596865 |   41.3 | SBc   |
  PGC002812               |  11.9513055 |   -9.37872 |     4095 | 72.4688329708456 |   50.5 | Sbc   |
  NGC0251                 |  11.9751255 |   19.59681 |     4616 | 103.788989985647 |   55.3 | Sc    |
  NGC0252                 |   12.006021 |   27.62444 |     5037 | 97.0848003398731 |   50.9 | S0-a  |
  NGC0257                 |  12.0062505 |    8.29706 |     5282 | 109.938868239271 |   44.8 | Sc    |
  ESO243-002              |   12.393876 |  -46.87443 |     8654 | 61.1154855647233 |   39.9 | Sb    |
  UGC00506                |   12.412266 |   22.93215 |     7538 | 99.5752210060189 |   41.1 | S0-a  |
  ESO079-007              |  12.5169105 |  -66.55251 |     1396 | 96.4164686173752 |   39.2 | SBbc  |
  NGC0268                 |  12.5399025 |   -5.19378 |     5417 | 85.3397266651725 |   51.1 | Sbc   |
  ESO295-012              |  12.5867055 |  -41.24340 |     6832 | 62.1085279549837 |   51.9 | Sbc   |
  ESO540-032              |   12.602349 |  -19.90644 |       97 | 74.1568473094084 |   40.3 | IAB   |
  PGC002936               |   12.614598 |   -5.85845 |     5666 | 79.6436721858368 |   27.2 | E-SO  |
  NGC0270                 |  12.6354315 |   -8.65164 |     3700 | 106.206543796003 |   52.1 | S0-a  |
  PGC002948               |   12.674418 |  -52.21995 |     7557 | 67.3210998665425 |   46.0 | S0-a  |
  NGC0274                 |  12.7579935 |   -7.05706 |     1650 | 76.4101882168071 |   37.8 | E-SO  |
  NGC0275                 |  12.7692675 |   -7.06653 |     1677 | 104.990808695112 |   38.2 | SBc   |
  NGC0277                 |   12.821967 |   -8.59691 |     4210 | 80.1957396218394 |   41.3 | E-SO  |
  NGC0279                 |  13.0372785 |   -2.21832 |     3873 | 84.7522480246441 |   47.4 | S0-a  |
  NGC0282                 |   13.175541 |   30.63911 |     6785 | 75.0155423072468 |   59.9 | E     |
  ESO151-002              |   13.297356 |  -54.36595 |     1151 | 64.2911540789165 |   50.6 | S0-a  |
  NGC0283                 |   13.305042 |  -13.16394 |    11224 | 68.1006407154566 |   58.9 | Sc    |
  PGC003155               |  13.3962495 |   31.41972 |     5509 | 71.9699575568027 |   52.9 | S0    |
  PGC003173               |   13.469745 |    0.97961 |    12589 | 60.6947665891908 |   57.0 | S0-a  |
  ESO411-028              |   13.475565 |  -31.09559 |     9397 | 102.837430772544 |   54.1 | E-SO  |
  ESO079-008              |  13.5576105 |  -62.45542 |    10357 | 75.1884790820799 |   54.2 | SBbc  |
  NGC0293                 |   13.566564 |   -7.23546 |     5579 | 67.1662768428085 |   58.8 | Sb    |
  UGC00548                |  13.5954375 |   31.66507 |     6721 | 68.1006407154566 |   32.6 | Sc    |
  IC0057                  |  13.7022915 |   11.84111 |    11446 |  61.823168855599 |   24.0 | S0    |
  ESO351-021              |  13.7495835 |  -35.32139 |    16927 | 63.8485738027402 |   22.1 | E-SO  |
  ESO541-001              |  13.7619255 |  -19.00540 |     6242 | 109.938868239271 |   51.7 | SBbc  |
  ESO243-011              |  13.8064335 |  -43.91646 |     6820 | 65.1855394210117 |   58.5 | Sa    |
  ESO195-017              |   13.936917 |  -50.46403 |     4465 | 60.5551659840007 |   56.4 | Sab   |
  IC1602                  |  13.9661205 |   -9.98566 |    16269 | 64.5879047335007 |   54.3 | E-SO  |
  PGC003324               |  14.0176245 |  -13.35811 |    16701 | 62.1085279549837 |   44.2 | Sc    |
  NGC0304                 |  14.0251245 |   24.12686 |     5071 |  70.008582096846 |   58.7 | S0    |
  UGC00574                |   14.063973 |    4.40955 |     5261 | 65.1855394210117 |   28.6 | I     |
  NGC0312                 |  14.0663115 |  -52.78280 |     7845 | 110.446316450174 |   56.1 | E     |
  UGC00579                |   14.067039 |   -1.25544 |    13298 |   89.15614891353 |   59.6 | E     |
